id,hash_mode,speed,accel,loops,thr,vec
0,0 - MD5,34949.6 MH/s (53.61ms),64,1024,1024,4
1,10 - md5($pass.$salt),34780.5 MH/s (53.85ms),64,1024,1024,4
2,11 - Joomla < 2.5.18,34780.6 MH/s (53.93ms),64,1024,1024,4
3,12 - PostgreSQL,34742.5 MH/s (53.99ms),64,1024,1024,4
4,20 - md5($salt.$pass),17676.5 MH/s (53.06ms),64,512,1024,1
5,"21 - osCommerce, xt:Commerce",17662.8 MH/s (53.08ms),64,512,1024,1
6,22 - Juniper NetScreen/SSG (ScreenOS),17447.5 MH/s (53.73ms),64,512,1024,1
7,23 - Skype,17634.1 MH/s (53.17ms),64,512,1024,1
8,30 - md5(utf16le($pass).$salt),34236.8 MH/s (54.71ms),64,1024,1024,4
9,40 - md5($salt.utf16le($pass)),17633.8 MH/s (53.18ms),64,512,1024,1
10,50 - HMAC-MD5 (key = $pass),5221.5 MH/s (89.39ms),64,256,1024,1
11,60 - HMAC-MD5 (key = $salt),10461.9 MH/s (89.49ms),64,512,1024,1
12,100 - SHA1,11478.1 MH/s (51.06ms),64,512,640,1
13,"101 - nsldap, SHA-1(Base64), Netscape LDAP SHA",11474.4 MH/s (51.07ms),64,512,640,1
14,110 - sha1($pass.$salt),11472.0 MH/s (51.09ms),64,512,640,1
15,"111 - nsldaps, SSHA-1(Base64), Netscape LDAP SSHA",11457.5 MH/s (51.10ms),64,512,640,1
16,112 - Oracle S: Type (Oracle 11+),11428.5 MH/s (51.11ms),64,512,640,1
17,120 - sha1($salt.$pass),9266.8 MH/s (50.44ms),64,256,1024,1
18,121 - SMF (Simple Machines Forum) > v1.1,9266.3 MH/s (50.43ms),64,256,1024,1
19,"122 - macOS v10.4, macOS v10.5, MacOS v10.6",9276.7 MH/s (50.39ms),64,256,1024,1
20,124 - Django (SHA-1),9286.4 MH/s (50.31ms),64,256,1024,1
21,125 - ArubaOS,9321.3 MH/s (50.21ms),64,256,1024,1
22,130 - sha1(utf16le($pass).$salt),11460.2 MH/s (50.86ms),64,512,640,1
23,131 - MSSQL (2000),11473.0 MH/s (50.79ms),64,512,640,1
24,132 - MSSQL (2005),11520.7 MH/s (50.72ms),64,512,640,1
25,133 - PeopleSoft,11515.5 MH/s (50.72ms),64,512,640,1
26,140 - sha1($salt.utf16le($pass)),9363.6 MH/s (49.94ms),64,256,1024,1
27,141 - Episerver 6.x < .NET 4,9372.9 MH/s (49.94ms),64,256,1024,1
28,150 - HMAC-SHA1 (key = $pass),2410.7 MH/s (72.91ms),128,128,384,1
29,160 - HMAC-SHA1 (key = $salt),4731.9 MH/s (86.75ms),64,256,896,1
30,200 - MySQL323,69668.9 MH/s (26.81ms),64,1024,1024,4
31,300 - MySQL4.1/MySQL5,5134.3 MH/s (45.65ms),128,128,512,1
32,"400 - phpass, WordPress (MD5), phpBB3 (MD5), Joomla (MD5) (Iterations: 2048)",9160.7 kH/s (48.41ms),64,512,1024,1
33,"500 - md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5) (Iterations: 1000)",13153.7 kH/s (67.23ms),1024,1000,32,1
34,501 - Juniper IVE (Iterations: 1000),13121.7 kH/s (67.29ms),1024,1000,32,1
35,600 - BLAKE2b,1644.0 MH/s (89.17ms),64,128,640,1
36,900 - MD4,60889.4 MH/s (30.76ms),64,1024,1024,4
37,1000 - NTLM,58138.5 MH/s (32.04ms),64,1024,1024,2
38,"1100 - Domain Cached Credentials (DCC), MS Cache",16024.4 MH/s (58.51ms),64,512,1024,4
39,1300 - SHA-224,4180.9 MH/s (56.05ms),64,128,1024,1
40,1400 - SHA-256,4278.9 MH/s (54.78ms),64,128,1024,1
41,1410 - sha256($pass.$salt),4278.9 MH/s (54.79ms),64,128,1024,1
42,"1411 - SSHA-256(Base64), LDAP {SSHA256}",4278.0 MH/s (54.79ms),64,128,1024,1
43,1420 - sha256($salt.$pass),3786.8 MH/s (61.83ms),64,128,1024,1
44,1421 - hMailServer,3786.5 MH/s (61.84ms),64,128,1024,1
45,1430 - sha256(utf16le($pass).$salt),4238.5 MH/s (55.12ms),64,128,1024,1
46,1440 - sha256($salt.utf16le($pass)),3796.1 MH/s (61.70ms),64,128,1024,1
47,1441 - Episerver 6.x >= .NET 4,3798.2 MH/s (61.70ms),64,128,1024,1
48,1450 - HMAC-SHA256 (key = $pass),776.2 MH/s (56.64ms),64,32,768,1
49,1460 - HMAC-SHA256 (key = $salt),1533.0 MH/s (76.16ms),64,64,1024,1
50,"1500 - descrypt, DES (Unix), Traditional DES",1192.2 MH/s (49.03ms),8,1024,256,1
51,"1600 - Apache $apr1$ MD5, md5apr1, MD5 (APR) (Iterations: 1000)",13124.8 kH/s (67.38ms),1024,1000,32,1
52,1700 - SHA-512,1409.0 MH/s (51.98ms),64,64,640,1
53,1710 - sha512($pass.$salt),1407.1 MH/s (51.97ms),64,64,640,1
54,"1711 - SSHA-512(Base64), LDAP {SSHA512}",1407.7 MH/s (51.97ms),64,64,640,1
55,1720 - sha512($salt.$pass),1276.6 MH/s (57.39ms),64,64,640,1
56,1722 - macOS v10.7,1276.5 MH/s (57.38ms),64,64,640,1
57,1730 - sha512(utf16le($pass).$salt),1394.3 MH/s (52.48ms),64,64,640,1
58,"1731 - MSSQL (2012, 2014)",1394.8 MH/s (52.50ms),64,64,640,1
59,1740 - sha512($salt.utf16le($pass)),1217.1 MH/s (60.22ms),64,64,640,1
60,1750 - HMAC-SHA512 (key = $pass),267.2 MH/s (54.88ms),64,16,512,1
61,1760 - HMAC-SHA512 (key = $salt),600.6 MH/s (48.78ms),64,32,512,1
62,"1800 - sha512crypt $6$, SHA512 (Unix) (Iterations: 5000)",193.5 kH/s (58.54ms),512,128,32,1
63,"2100 - Domain Cached Credentials 2 (DCC2), MS Cache 2 (Iterations: 10240)",455.7 kH/s (99.64ms),64,256,1024,1
64,2400 - Cisco-PIX MD5,23783.1 MH/s (78.93ms),64,1024,1024,2
65,2410 - Cisco-ASA MD5,24173.8 MH/s (48.47ms),64,1024,640,4
66,2500 - WPA/WPA2 (Iterations: 4096),560.0 kH/s (101.97ms),64,128,1024,1
67,2501 - WPA/WPA2 PMK (Iterations: 1),261.7 MH/s (0.01ms),64,1,1024,1
68,2600 - md5(md5($pass)),9227.4 MH/s (50.82ms),64,256,1024,1
69,2611 - vBulletin < v3.8.5,9223.0 MH/s (50.82ms),64,256,1024,1
70,2612 - PHPS,9222.4 MH/s (50.83ms),64,256,1024,1
71,2711 - vBulletin >= v3.8.5,6526.9 MH/s (71.30ms),64,256,1024,2
72,"2811 - IPB2+ (Invision Power Board), MyBB 1.2+",6763.7 MH/s (69.35ms),64,256,1024,1
73,3000 - LM,27895.0 MH/s (66.99ms),256,1024,256,1
74,3100 - Oracle H: Type (Oracle 7+),1286.7 MH/s (79.79ms),64,64,896,1
75,"3200 - bcrypt $2*$, Blowfish (Unix) (Iterations: 32)",20945 H/s (41.67ms),16,8,8,1
76,3710 - md5($salt.md5($pass)),8671.3 MH/s (54.08ms),64,256,1024,1
77,3711 - MediaWiki B type,9064.7 MH/s (90.39ms),64,512,896,2
