id,hash_mode,speed,accel,loops,thr,vec
0,0 - MD5,65079.1 MH/s (41.37ms),32,1024,1024,1
1,10 - md5($pass.$salt),66252.7 MH/s (41.33ms),32,1024,1024,1
2,11 - Joomla < 2.5.18,58906.6 MH/s (46.51ms),32,1024,1024,1
3,12 - PostgreSQL,58905.3 MH/s (46.51ms),32,1024,1024,1
4,20 - md5($salt.$pass),37131.6 MH/s (73.85ms),32,1024,1024,1
5,"21 - osCommerce, xt:Commerce",37083.6 MH/s (73.72ms),32,1024,1024,1
6,22 - Juniper NetScreen/SSG (ScreenOS),37173.4 MH/s (73.76ms),32,1024,1024,1
7,23 - Skype,37300.7 MH/s (73.53ms),32,1024,1024,1
8,30 - md5(utf16le($pass).$salt),63618.4 MH/s (43.03ms),32,1024,1024,1
9,40 - md5($salt.utf16le($pass)),37508.7 MH/s (73.09ms),32,1024,1024,1
10,50 - HMAC-MD5 (key = $pass),11170.9 MH/s (61.34ms),16,512,1024,1
11,60 - HMAC-MD5 (key = $salt),23600.2 MH/s (58.07ms),16,1024,1024,1
12,100 - SHA1,22757.6 MH/s (60.21ms),16,1024,1024,1
13,"101 - nsldap, SHA-1(Base64), Netscape LDAP SHA",22765.5 MH/s (60.20ms),32,512,1024,1
14,110 - sha1($pass.$salt),22777.5 MH/s (60.19ms),16,1024,1024,1
15,"111 - nsldaps, SSHA-1(Base64), Netscape LDAP SSHA",22759.6 MH/s (60.22ms),16,1024,1024,1
16,112 - Oracle S: Type (Oracle 11+),22803.5 MH/s (60.10ms),16,1024,1024,1
17,120 - sha1($salt.$pass),17429.9 MH/s (78.67ms),32,512,1024,1
18,121 - SMF (Simple Machines Forum) > v1.1,17325.5 MH/s (79.13ms),32,512,1024,1
19,"122 - macOS v10.4, macOS v10.5, MacOS v10.6",17418.2 MH/s (78.74ms),32,512,1024,1
20,124 - Django (SHA-1),17368.8 MH/s (78.87ms),32,512,1024,1
21,125 - ArubaOS,17426.6 MH/s (78.69ms),32,512,1024,1
22,130 - sha1(utf16le($pass).$salt),22763.1 MH/s (60.15ms),32,512,1024,1
23,131 - MSSQL (2000),22777.8 MH/s (59.78ms),16,1024,1024,1
24,132 - MSSQL (2005),22778.2 MH/s (60.14ms),16,1024,1024,1
25,133 - PeopleSoft,22790.8 MH/s (60.15ms),16,1024,1024,1
26,140 - sha1($salt.utf16le($pass)),17406.5 MH/s (78.79ms),16,1024,1024,1
27,141 - Episerver 6.x < .NET 4,17396.6 MH/s (78.85ms),16,1024,1024,1
28,150 - HMAC-SHA1 (key = $pass),5200.0 MH/s (65.90ms),8,512,1024,1
29,160 - HMAC-SHA1 (key = $salt),9555.3 MH/s (71.75ms),8,1024,1024,1
30,200 - MySQL323,172.9 GH/s (15.74ms),32,1024,1024,1
31,300 - MySQL4.1/MySQL5,9912.1 MH/s (69.16ms),8,1024,1024,1
32,400 - phpass (Iterations: 2048),19136.3 kH/s (68.49ms),32,1024,1024,1
33,"500 - md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5) (Iterations: 1000)",32621.8 kH/s (79.31ms),32,1000,1024,1
34,501 - Juniper IVE (Iterations: 1000),31889.3 kH/s (80.02ms),32,1000,1024,1
35,600 - BLAKE2b-512,5715.6 MH/s (59.88ms),8,512,1024,1
36,900 - MD4,121.3 GH/s (22.56ms),32,1024,1024,1
37,1000 - NTLM,121.2 GH/s (22.55ms),32,1024,1024,1
38,"1100 - Domain Cached Credentials (DCC), MS Cache",32382.2 MH/s (84.70ms),32,1024,1024,1
39,1300 - SHA2-224,9456.9 MH/s (72.49ms),16,512,1024,1
40,1400 - SHA2-256,9713.2 MH/s (70.57ms),16,512,1024,1
41,1410 - sha256($pass.$salt),9746.6 MH/s (70.35ms),8,1024,1024,1
42,"1411 - SSHA-256(Base64), LDAP {SSHA256}",9688.7 MH/s (70.56ms),8,1024,1024,1
43,1420 - sha256($salt.$pass),8748.8 MH/s (78.38ms),16,512,1024,1
44,1421 - hMailServer,8721.5 MH/s (78.56ms),32,256,1024,1
45,1430 - sha256(utf16le($pass).$salt),9752.6 MH/s (70.32ms),8,1024,1024,1
46,1440 - sha256($salt.utf16le($pass)),8737.1 MH/s (78.46ms),16,512,1024,1
47,1441 - Episerver 6.x >= .NET 4,8790.3 MH/s (78.02ms),8,1024,1024,1
48,1450 - HMAC-SHA256 (key = $pass),1898.6 MH/s (90.30ms),4,512,1024,1
49,1460 - HMAC-SHA256 (key = $salt),4170.0 MH/s (82.24ms),4,1024,1024,1
50,"1500 - descrypt, DES (Unix), Traditional DES",2787.3 MH/s (61.41ms),32,1024,64,1
51,"1600 - Apache $apr1$ MD5, md5apr1, MD5 (APR) (Iterations: 1000)",32109.8 kH/s (80.36ms),32,1000,1024,1
52,1700 - SHA2-512,2863.9 MH/s (59.81ms),2,1024,1024,1
53,1710 - sha512($pass.$salt),2865.5 MH/s (59.74ms),2,1024,1024,1
54,"1711 - SSHA-512(Base64), LDAP {SSHA512}",2866.1 MH/s (59.77ms),8,256,1024,1
55,1720 - sha512($salt.$pass),2834.7 MH/s (60.43ms),2,1024,1024,1
56,1722 - macOS v10.7,2835.1 MH/s (60.43ms),4,512,1024,1
57,1730 - sha512(utf16le($pass).$salt),2863.1 MH/s (59.84ms),2,1024,1024,1
58,"1731 - MSSQL (2012, 2014)",2858.0 MH/s (59.81ms),2,1024,1024,1
59,1740 - sha512($salt.utf16le($pass)),2830.2 MH/s (60.52ms),32,64,1024,1
60,1750 - HMAC-SHA512 (key = $pass),705.5 MH/s (60.72ms),1,512,1024,1
61,1760 - HMAC-SHA512 (key = $salt),1402.1 MH/s (61.09ms),2,512,1024,1
62,"1800 - sha512crypt $6$, SHA512 (Unix) (Iterations: 5000)",483.7 kH/s (68.87ms),8,256,1024,1
63,2000 - STDOUT,24549.4 GH/s (0.01ms),32,1024,1024,1
64,"2100 - Domain Cached Credentials 2 (DCC2), MS Cache 2 (Iterations: 10239)",909.2 kH/s (73.60ms),8,1024,1024,1
65,2400 - Cisco-PIX MD5,47536.1 MH/s (57.65ms),32,1024,1024,1
66,2410 - Cisco-ASA MD5,43007.2 MH/s (63.62ms),32,1024,1024,1
67,2500 - WPA-EAPOL-PBKDF2 (Iterations: 4095),1138.3 kH/s (73.44ms),4,1024,1024,1
68,2501 - WPA-EAPOL-PMK (Iterations: 0),960.3 MH/s (0.00ms),32,1024,1024,1
69,2600 - md5(md5($pass)),20101.2 MH/s (68.13ms),32,512,1024,1
70,2611 - vBulletin < v3.8.5,20108.7 MH/s (68.17ms),32,512,1024,1
71,2612 - PHPS,20109.8 MH/s (68.18ms),32,512,1024,1
72,2711 - vBulletin >= v3.8.5,14107.9 MH/s (97.14ms),32,512,1024,1
73,"2811 - MyBB 1.2+, IPB2+ (Invision Power Board)",14901.6 MH/s (45.90ms),32,256,1024,1
74,3000 - LM,68416.3 MH/s (39.93ms),512,1024,64,1
75,3100 - Oracle H: Type (Oracle 7+),1464.3 MH/s (58.49ms),1,1024,1024,1
76,"3200 - bcrypt $2*$, Blowfish (Unix) (Iterations: 32)",96662 H/s (36.29ms),8,16,11,1
77,3710 - md5($salt.md5($pass)),18629.3 MH/s (73.61ms),32,512,1024,1
78,3711 - MediaWiki B type,18660.7 MH/s (73.49ms),32,512,1024,1
79,3800 - md5($salt.$pass.$salt),37141.3 MH/s (73.84ms),32,1024,1024,1
80,3910 - md5(md5($pass).md5($salt)),14128.9 MH/s (97.11ms),16,1024,1024,1
81,4010 - md5($salt.md5($salt.$pass)),16511.4 MH/s (82.94ms),32,512,1024,1
82,4110 - md5($salt.md5($pass.$salt)),17715.6 MH/s (77.41ms),16,1024,1024,1
83,4300 - md5(strtoupper(md5($pass))),20044.3 MH/s (68.33ms),32,512,1024,1
84,4400 - md5(sha1($pass)),12118.1 MH/s (56.54ms),8,1024,1024,1
85,4500 - sha1(sha1($pass)),8739.0 MH/s (78.46ms),8,1024,1024,1
86,4520 - sha1($salt.sha1($pass)),5317.5 MH/s (64.43ms),4,1024,1024,1
87,4521 - Redmine,5306.1 MH/s (64.58ms),8,512,1024,1
88,4522 - PunBB,8064.5 MH/s (85.04ms),16,512,1024,1
