id,hash_mode,speed,accel,loops
0,MD4,32948.8 MH/s,256,1024
1,MD5,15818.6 MH/s,256,1024
2,Half MD5, 7528.8 MH/s,256,1024
3,SHA1, 5172.0 MH/s,256,1024
4,SHA256, 1963.4 MH/s,256,1024
5,SHA384,  699.6 MH/s,256,256
6,SHA512,  692.3 MH/s,256,256
7,SHA-3(Keccak),  491.1 MH/s,256,128
8,SipHash,19990.0 MH/s,256,1024
9,RipeMD160, 3473.5 MH/s,256,1024
10,Whirlpool,  200.5 MH/s,32,512
11,GOST R 34.11-94,  191.3 MH/s,64,512
12,GOST R 34.11-2012 (Streebog) 256-bit,40041.3 kH/s,16,512
13,GOST R 34.11-2012 (Streebog) 512-bit,39723.1 kH/s,16,512
14,"phpass, MD5(Wordpress), MD5(phpBB3), MD5(Joomla)", 4442.1 kH/s,32,1024
15,scrypt,  273.9 kH/s,64,1
16,PBKDF2-HMAC-MD5, 4827.3 kH/s,8,1000
17,PBKDF2-HMAC-SHA1, 2153.4 kH/s,8,1000
18,PBKDF2-HMAC-SHA256,  898.1 kH/s,8,1000
19,PBKDF2-HMAC-SHA512,  288.2 kH/s,8,1000
20,Skype, 9216.8 MH/s,256,1024
21,WPA/WPA2,  272.3 kH/s,32,1024
22,IKE-PSK MD5, 1174.5 MH/s,128,512
23,IKE-PSK SHA1,  383.4 MH/s,128,512
24,NetNTLMv1-VANILLA / NetNTLMv1+ESS,13585.5 MH/s,256,1024
25,NetNTLMv2, 1068.4 MH/s,256,1024
26,IPMI2 RAKP HMAC-SHA1, 1110.4 MH/s,256,256
27,Kerberos 5 AS-REQ Pre-Auth etype 23,  178.9 MH/s,32,256
28,DNSSEC (NSEC3), 2270.8 MH/s,256,512
29,PostgreSQL Challenge-Response Authentication (MD5), 3925.0 MH/s,256,1024
30,MySQL Challenge-Response Authentication (SHA1), 1529.0 MH/s,256,1024
31,SIP digest authentication (MD5), 1266.1 MH/s,32,1024
32,SMF > v1.1, 4147.3 MH/s,256,512
33,vBulletin < v3.8.5, 4405.9 MH/s,256,1024
34,vBulletin > v3.8.5, 2049.9 MH/s,256,1024
35,"IPB2+, MyBB1.2+", 2077.2 MH/s,256,1024
36,"WBB3, Woltlab Burning Board 3",  847.5 MH/s,256,256
37,Joomla < 2.5.18,15697.5 MH/s,256,1024
38,PHPS, 4440.9 MH/s,256,1024
39,Drupal7,   39254 H/s,8,1024
40,"osCommerce, xt:Commerce", 9047.9 MH/s,256,1024
41,PrestaShop, 5526.3 MH/s,256,1024
42,Django (SHA-1), 4128.9 MH/s,256,512
43,Django (PBKDF2-SHA256),   44999 H/s,8,1024
44,Mediawiki B type, 4039.9 MH/s,256,1024
45,Redmine Project Management Web App, 1450.3 MH/s,256,1024
46,PostgreSQL,15825.9 MH/s,256,1024
47,MSSQL(2000), 5114.8 MH/s,256,512
